종목,현재가,대비,시가,고가,저가,거래량,미결제,등락
코스피200 P 202009 312.5,"47.95",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 315.0,"50.20",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 317.5,"52.45",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 320.0,"54.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 322.5,"57.00",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 325.0,"59.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 327.5,"61.50",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 330.0,"63.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 332.5,"66.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 335.0,"68.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 337.5,"70.95",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 340.0,"73.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 342.5,"75.70",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 345.0,"78.05",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 347.5,"80.45",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 350.0,"82.85",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202009 352.5,"85.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 355.0,"87.70",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 357.5,"90.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 360.0,"92.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 362.5,"95.00",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 365.0,"97.50",0.00,"0.00","0.00","0.00","0","70",0
코스피200 P 202010 202.5,"1.52",0.00,"0.00","0.00","0.00","0","23",0
코스피200 P 202010 205.0,"1.82",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 207.5,"2.05",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 210.0,"2.41",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 212.5,"2.77",0.00,"0.00","0.00","0.00","0","0",0
